Sharp,AR,36153912,-91481513
Stone,AR,35862902,-92153495
Union,AR,33170291,-92594441
Van Buren,AR,35581189,-92519040
Washington,AR,35985741,-94214352
White,AR,35254806,-91745790
Woodruff,AR,35187551,-91241026
Yell,AR,34997776,-93406902
Apache,AZ,35383620,-109488456
Cochise,AZ,31890821,-109736956
Coconino,AZ,35835573,-111768163
Gila,AZ,33797288,-110818155
Graham,AZ,32936517,-109891347
Greenlee,AZ,33185081,-109232988
La Paz,AZ,33727923,-113979016
Maricopa,AZ,33342656,-112490919
Mohave,AZ,35708232,-113753337
Navajo,AZ,35387551,-110319661
Pima,AZ,32103960,-111814821
Pinal,AZ,32909084,-111346897
Santa Cruz,AZ,31523864,-110836469
Yavapai,AZ,34595236,-112554041
Yuma,AZ,32764761,-113897214
Alameda,CA,37653853,-121913948
Alpine,CA,38579180,-119804453
Amador,CA,38444419,-120655265
Butte,CA,39662375,-121596065
Calaveras,CA,38207542,-120551793
Colusa,CA,39176482,-122235120
Contra Costa,CA,37933350,-121948700
Del Norte,CA,41737320,-123956960
El Dorado,CA,38775488,-120527585
Fresno,CA,36753992,-119647934
Glenn,CA,39594777,-122391742
Humboldt,CA,40700416,-123911969
Imperial,CA,33038512,-115352917
Inyo,CA,36589328,-117483183
Kern,CA,35338498,-118724910
Kings,CA,36072642,-119814766
Lake,CA,39090857,-122762036
Lassen,CA,40652341,-120577604
Los Angeles,CA,34184667,-118261988
Madera,CA,37219685,-119765135
Marin,CA,38035300,-122743465
Mariposa,CA,37578193,-119909601
Mendocino,CA,39431152,-123431626
Merced,CA,37189464,-120711131
Modoc,CA,41595361,-120718555
Mono,CA,37910550,-118873970
Monterey,CA,36239310,-121310622
Napa,CA,38502833,-122323151
Nevada,CA,39304003,-120766234
Orange,CA,33674967,-117777399
Placer,CA,39064980,-120727661
Plumas,CA,40010792,-120834136
Riverside,CA,33727917,-115977297
Sacramento,CA,38445368,-121349033
San Benito,CA,36611964,-121084212
San Bernardino,CA,34828251,-116191349
San Diego,CA,33020561,-116771868
San Francisco,CA,37793250,-122554783
San Joaquin,CA,37932561,-121270600
San Luis Obispo,CA,35381635,-120445529
San Mateo,CA,37436567,-122356471
Santa Barbara,CA,34536645,-120025949
Santa Clara,CA,37232600,-121686315
Santa Cruz,CA,37025900,-122007235
Shasta,CA,40760008,-122038133
Sierra,CA,39590741,-120499150
Siskiyou,CA,41589207,-122533064
Solano,CA,38267400,-121938347
Sonoma,CA,38512470,-122928697
Stanislaus,CA,37562401,-120993750
Sutter,CA,39039974,-121689128
Tehama,CA,40129251,-122233448
Trinity,CA,40657296,-123118229
Tulare,CA,36227815,-118796611
Tuolumne,CA,38018666,-119944921
Ventura,CA,34356248,-119146228
Yolo,CA,38701200,-121882611
Yuba,CA,39270692,-121352619
Adams,CO,39870594,-104350313
Alamosa,CO,37571634,-105784847
Arapahoe,CO,39644335,-104331552
Archuleta,CO,37186710,-107052349
Baca,CO,37320937,-102556991
Bent,CO,37954862,-103076652
Boulder,CO,40088471,-105357295
Chaffee,CO,38737034,-106175994
Cheyenne,CO,38820224,-102587596
Clear Creek,CO,39687705,-105635856
Conejos,CO,37206085,-106194112
Costilla,CO,37276261,-105427953
Crowley,CO,38327049,-103785398
Custer,CO,38092794,-105360548
Delta,CO,38862219,-107861186
Denver,CO,39768035,-104872655
Dolores,CO,37754722,-108521796
Douglas,CO,39346424,-104930454
Eagle,CO,39624387,-106703546
Elbert,CO,39282065,-104128464
El Paso,CO,38837901,-104521087
Fremont,CO,38476215,-105437970
Garfield,CO,39603247,-107896925
Gilpin,CO,39858816,-105519522
Grand,CO,40101500,-106118050
Gunnison,CO,38668937,-107013567
Hinsdale,CO,37821179,-107279829
Huerfano,CO,37686839,-104958585
Jackson,CO,40662438,-106338973
Jefferson,CO,39587467,-105246813
Kiowa,CO,38433599,-102740735
Kit Carson,CO,39305339,-102602452
Lake,CO,39189931,-106358091
La Plata,CO,37285784,-107846076
Larimer,CO,40648764,-105456325
Las Animas,CO,37320189,-104043298
Lincoln,CO,38978727,-103523258
Logan,CO,40729106,-103105037
Mesa,CO,39021885,-108468152
Mineral,CO,37692655,-106926879
Moffat,CO,40608316,-108202444
Montezuma,CO,37335739,-108595519
Montrose,CO,38405803,-108269076
Morgan,CO,40263386,-103807282
Otero,CO,37895624,-103711148
Ouray,CO,38156773,-107765790
Park,CO,39116743,-105713562
Phillips,CO,40593813,-102348564
Pitkin,CO,39220673,-106921365
Prowers,CO,37955682,-102395291
Pueblo,CO,38152996,-104506384
Rio Blanco,CO,39975262,-108199107
Rio Grande,CO,37606496,-106388011
Routt,CO,40484190,-106987384
Saguache,CO,38079466,-106298793
San Juan,CO,37770293,-107667201
San Miguel,CO,38013248,-108426142
Sedgwick,CO,40877059,-102352967
Summit,CO,39618528,-106107845
Teller,CO,38881039,-105154213
Washington,CO,39975530,-103200802
Weld,CO,40544755,-104403026
Yuma,CO,40000314,-102422375
Fairfield,CT,41225499,-73371027
Hartford,CT,41807100,-72734983
Litchfield,CT,41794783,-73244573
